50292960QB,Alphabet necklace with pendant A,490,0,2301/29804,Accessories,Necklaces,2301,29804,GOLD COLOR,26057,490,490,490.0,490.0,1,,True,searchresult,https://www.chloe.com/us/necklaces_cod50292960qb.html,https://www.chloe.com/product_image/50292960QB/f/w282.jpg,alphabet,filename
50292961OQ,Alphabet necklace with pendant B,490,1,2301/29804,Accessories,Necklaces,2301,29804,GOLD COLOR,26057,490,490,490.0,490.0,1,,True,searchresult,https://www.chloe.com/us/necklaces_cod50292961oq.html,https://www.chloe.com/product_image/50292961OQ/f/w282.jpg,alphabet,alphabet.html
50292962PV,Alphabet necklace with pendant C,490,2,2301/29804,Accessories,Necklaces,2301,29804,GOLD COLOR,26057,490,490,490.0,490.0,1,,True,searchresult,https://www.chloe.com/us/necklaces_cod50292962pv.html,https://www.chloe.com/product_image/50292962PV/f/w282.jpg,alphabet,alphabet.html
50292963XC,Alphabet necklace with pendant D,490,3,2301/29804,Accessories,Necklaces,2301,29804,GOLD COLOR,26057,490,490,490.0,490.0,1,,True,searchresult,https://www.chloe.com/us/necklaces_cod50292963xc.html,https://www.chloe.com/product_image/50292963XC/f/w282.jpg,alphabet,alphabet.html
50292964WS,Alphabet necklace with pendant E,490,4,2301/29804,Accessories,Necklaces,2301,29804,GOLD COLOR,26057,490,490,490.0,490.0,1,,True,searchresult,https://www.chloe.com/us/necklaces_cod50292964ws.html,https://www.chloe.com/product_image/50292964WS/f/w282.jpg,alphabet,alphabet.html
50292965GX,Alphabet necklace with pendant F,490,5,2301/29804,Accessories,Necklaces,2301,29804,GOLD COLOR,26057,490,490,490.0,490.0,1,,True,searchresult,https://www.chloe.com/us/necklaces_cod50292965gx.html,https://www.chloe.com/product_image/50292965GX/f/w282.jpg,alphabet,alphabet.html
50292966FP,Alphabet necklace with pendant G,490,6,2301/29804,Accessories,Necklaces,2301,29804,GOLD COLOR,26057,490,490,490.0,490.0,1,,True,searchresult,https://www.chloe.com/us/necklaces_cod50292966fp.html,https://www.chloe.com/product_image/50292966FP/f/w282.jpg,alphabet,alphabet.html
50292967EN,Alphabet necklace with pendant H,490,7,2301/29804,Accessories,Necklaces,2301,29804,GOLD COLOR,26057,490,490,490.0,490.0,1,,True,searchresult,https://www.chloe.com/us/necklaces_cod50292967en.html,https://www.chloe.com/product_image/50292967EN/f/w282.jpg,alphabet,alphabet.html
50292968TQ,Alphabet necklace with pendant I,490,8,2301/29804,Accessories,Necklaces,2301,29804,GOLD COLOR,26057,490,490,490.0,490.0,1,,True,searchresult,https://www.chloe.com/us/necklaces_cod50292968tq.html,https://www.chloe.com/product_image/50292968TQ/f/w282.jpg,alphabet,alphabet.html
50292969SH,Alphabet necklace with pendant J,490,9,2301/29804,Accessories,Necklaces,2301,29804,GOLD COLOR,26057,490,490,490.0,490.0,1,,True,searchresult,https://www.chloe.com/us/necklaces_cod50292969sh.html,https://www.chloe.com/product_image/50292969SH/f/w282.jpg,alphabet,alphabet.html
